tmin,tlat,tlon,ilat,ilon,elat,elon,flat,flon,eins,eekf,efgo
0.0,44.8750983,-76.0921488,44.8750983,-76.0921488,44.8750983,-76.0921488,44.8750988,-76.0921491,0.0,8.36e-5,0.0617653
0.21,44.8703216,-76.0833363,44.8703198,-76.0833195,44.8705586,-76.0834796,44.870341,-76.0833435,1.3405761,28.7502542,2.238993
0.42,44.8658107,-76.0744658,44.8658107,-76.0744387,44.8662365,-76.0744685,44.8658517,-76.0744854,2.1437481,47.4820476,4.8233468
0.63,44.8615852,-76.0652654,44.8615822,-76.0652255,44.8622112,-76.0652906,44.8616423,-76.0652941,3.1699083,69.8332202,6.7582034
0.84,44.8561353,-76.0577362,44.8561334,-76.0576739,44.8569887,-76.0577277,44.8562111,-76.0577625,4.9266775,95.1600861,8.7080431
1.05,44.8489197,-76.0537663,44.8489141,-76.0536861,44.8499837,-76.053736,44.8490074,-76.0537929,6.3670742,118.6604783,10.0061368
1.26,44.8415949,-76.0501468,44.8415917,-76.0500536,44.8428675,-76.0501256,44.8416995,-76.0501781,7.377955,141.9159371,11.9217707
1.47,44.8341059,-76.0466822,44.8340974,-76.04657,44.8355817,-76.0466428,44.8342186,-76.0467118,8.9215316,164.5888816,12.7861802
1.68,44.8267233,-76.0432254,44.8267177,-76.0431036,44.8283913,-76.0431472,44.8268514,-76.0432624,9.6513447,186.0947932,14.5813559
1.89,44.8193255,-76.0397633,44.8193151,-76.0396258,44.8202725,-76.0394496,44.8194603,-76.0398013,10.9399978,108.4750104,15.3312756
2.1,44.81195,-76.0359307,44.8119412,-76.0357812,44.8128477,-76.035351,44.8120971,-76.0359733,11.8661282,110.1056251,16.7433048
2.31,44.804435,-76.0321774,44.804424,-76.0320111,44.8052353,-76.0316558,44.8045897,-76.0322195,13.2103387,98.3186557,17.5663196
2.52,44.7969818,-76.0286052,44.7969698,-76.0284244,44.7976065,-76.0282834,44.7971444,-76.0286489,14.3657788,74.1592528,18.4537471
2.73,44.7894102,-76.0250949,44.7893953,-76.0249007,44.7898579,-76.0251269,44.7895778,-76.0251412,15.4544826,49.9876823,19.0497489
2.94,44.7818781,-76.0217838,44.7818609,-76.0215719,44.7819647,-76.0218587,44.7820505,-76.0218284,16.8837388,11.3315288,19.548206
3.15,44.7743367,-76.0185391,44.774315,-76.0183117,44.7743041,-76.0186618,44.7745109,-76.0185843,18.1592892,10.3713146,19.7549891
3.36,44.7666972,-76.0152127,44.7666775,-76.0149714,44.7666969,-76.0152823,44.7668789,-76.0152599,19.2299006,5.5100811,20.6062079
3.57,44.759075,-76.0118088,44.7590514,-76.0115566,44.7590956,-76.0118831,44.7592577,-76.0118612,20.1439806,6.314077,20.7865687
3.78,44.7515213,-76.0083343,44.7514941,-76.0080672,44.751696,-76.0083553,44.7517045,-76.0083881,21.3635128,19.5461003,20.8644984
3.99,44.7438961,-76.0048653,44.743868,-76.0045837,44.7440323,-76.0048975,44.7440818,-76.0049209,22.5233858,15.3944318,21.1733534
4.2,44.7363168,-76.0015344,44.7362878,-76.0012376,44.7364178,-76.0015692,44.7365044,-76.0015913,23.730998,11.5944422,21.3928572
4.41,44.7287276,-75.9983409,44.7286961,-75.9980233,44.7287335,-75.9984633,44.7289147,-75.9983936,25.4037694,9.7222,21.2809425
4.62,44.7211695,-75.99513,44.7211331,-75.9947975,44.7211588,-75.9952166,44.7213532,-75.9951847,26.6513547,6.9623469,20.935105
4.83,44.7136998,-75.9916522,44.7136617,-75.9913082,44.7136598,-75.9917296,44.7138828,-75.9917124,27.5847255,7.5812802,20.9570962
5.04,44.7066022,-75.9876113,44.7065628,-75.9872517,44.7065235,-75.9876746,44.7067845,-75.9876732,28.8359313,10.1045145,20.9105212
5.25,44.6995828,-75.9833174,44.6995383,-75.982943,44.6995093,-75.9833346,44.6997602,-75.9833821,30.0826073,8.309045,20.4347213
5.46,44.6925467,-75.9787885,44.6925024,-75.9783995,44.6924549,-75.9788526,44.692724,-75.9788561,31.2293685,11.4269245,20.4844338
5.67,44.6854327,-75.9742235,44.6853805,-75.9738158,44.6853559,-75.9741921,44.6856014,-75.97429,32.8388022,8.9121214,19.5353016
5.88,44.6783058,-75.9697076,44.6782529,-75.9692837,44.6782527,-75.969829,44.6784726,-75.9697755,34.1205922,11.3008935,19.3576792
6.09,44.6712262,-75.965079,44.6711712,-75.9646428,44.6711466,-75.965414,44.6713891,-75.9651523,35.1314887,28.0051357,19.0710841
6.3,44.6642593,-75.9597118,44.6641983,-75.9592627,44.6642656,-75.9598648,44.6644143,-75.95979,36.2607971,12.1537947,18.3621372
6.51,44.6583475,-75.9521498,44.6582796,-75.9516825,44.6584192,-75.9522516,44.658494,-75.9522282,37.8311447,11.3610611,17.4798396
6.72,44.6527705,-75.9444215,44.652699,-75.9439418,44.6528303,-75.9445291,44.6529114,-75.944506,38.8762197,10.8353833,17.0829608
6.93,44.6474465,-75.9367582,44.6473705,-75.9362584,44.6474889,-75.9368903,44.6475805,-75.936841,40.5408598,11.4941218,16.325332
7.14,44.6420979,-75.9291767,44.6420191,-75.928661,44.642126,-75.929371,44.6422263,-75.9292618,41.8454662,15.7335784,15.8293969
7.35,44.6367881,-75.9217342,44.6367078,-75.9212011,44.636799,-75.921977,44.6369118,-75.9218198,43.2354553,19.3051392,15.374028
