tmin,e_ins,e_ekf_m4,e_fgo_m4,e_ekf_m5,e_fgo_m5
0.0,0.0,0.02,0.04,0.0,0.0
0.21,1.34,560.89,19.39,8.81,2.57
0.42,2.14,1420.9,36.57,17.36,5.47
0.63,3.17,2368.21,51.46,37.81,7.56
0.84,4.93,2675.59,65.12,38.33,9.4
1.05,6.37,2851.47,76.07,43.26,10.7
1.26,7.38,3417.94,85.08,43.23,12.51
1.47,8.92,3979.45,91.78,58.79,13.08
1.68,9.65,4518.91,96.4,79.6,14.53
1.89,10.94,5065.89,98.74,63.01,14.74
2.1,11.87,5655.74,99.21,68.67,15.45
2.31,13.21,6274.79,97.6,57.56,15.38
2.52,14.37,6840.81,93.85,20.49,15.26
2.73,15.45,7391.81,87.84,45.25,14.73
2.94,16.88,8147.98,80.01,12.33,13.95
3.15,18.16,8473.18,69.86,10.12,12.79
3.36,19.23,8703.8,58.18,13.94,12.2
3.57,20.14,8947.37,65.87,8.37,14.09
3.78,21.36,9535.13,63.63,8.51,14.4
3.99,22.52,10147.01,60.97,10.34,14.96
4.2,23.73,10671.3,57.68,12.65,15.5
4.41,25.4,11167.44,53.89,5.97,15.97
4.62,26.65,11686.59,48.94,8.99,16.02
4.83,27.58,11968.91,43.46,10.66,16.31
5.04,28.84,12475.13,37.58,15.23,16.69
5.25,30.08,12981.97,30.69,16.47,16.63
5.46,31.23,13480.43,23.66,16.44,17.1
5.67,32.84,13980.41,15.48,19.5,16.78
5.88,34.12,14630.25,7.51,14.3,17.14
6.09,35.13,15373.37,4.41,18.56,17.21
6.3,36.26,16040.09,13.36,21.12,16.86
6.51,37.83,16588.78,23.79,27.71,16.54
6.72,38.88,17155.63,35.13,26.72,16.38
6.93,40.54,17620.24,46.74,27.12,16.3
7.14,41.85,17956.93,40.29,15.62,10.12
7.35,43.24,18079.8,51.13,6.67,10.02
7.56,44.6,18556.46,62.68,10.4,9.94
7.77,45.77,19051.12,75.49,12.72,9.9
7.98,47.01,19300.2,88.25,23.5,10.39
8.19,48.83,19842.97,101.61,28.75,10.53
8.4,50.31,20393.57,115.61,24.33,11.36
8.61,51.77,20901.86,130.14,23.02,12.54
8.82,53.45,21310.12,144.83,25.56,13.66
9.03,55.56,21784.62,160.25,31.04,14.85
9.24,57.64,22037.81,175.32,10.4,15.75
9.45,59.36,22194.08,191.83,7.78,17.59
9.66,61.28,22714.1,208.41,6.4,19.17
9.87,63.31,23251.65,225.07,13.45,20.47
10.08,65.17,23654.79,242.83,28.94,22.41
