flight,line,mag,cell,comp_rmse_nT,DRMS
Flt1003,1003.02,Mag 4,EKF offNN,438.9,Inf
Flt1003,1003.02,Mag 4,MPF offNN,438.9,124.0
Flt1003,1003.02,Mag 4,EKFonTL offNN,438.9,Inf
Flt1003,1003.02,Mag 5,EKF offNN,43.6,54.7
Flt1003,1003.02,Mag 5,MPF offNN,43.6,124.0
Flt1003,1003.02,Mag 5,EKFonTL offNN,43.6,47.7
Flt1003,1003.08,Mag 4,EKF offNN,293.7,Inf
Flt1003,1003.08,Mag 4,MPF offNN,293.7,272.3
Flt1003,1003.08,Mag 4,EKFonTL offNN,293.7,106.2
Flt1003,1003.08,Mag 5,EKF offNN,49.7,38.1
Flt1003,1003.08,Mag 5,MPF offNN,49.7,272.3
Flt1003,1003.08,Mag 5,EKFonTL offNN,49.7,24.6
Flt1007,1007.02,Mag 4,EKF offNN,320.2,Inf
Flt1007,1007.02,Mag 4,MPF offNN,320.2,120.9
Flt1007,1007.02,Mag 4,EKFonTL offNN,320.2,5569.4
Flt1007,1007.02,Mag 5,EKF offNN,30.2,158.5
Flt1007,1007.02,Mag 5,MPF offNN,30.2,120.9
Flt1007,1007.02,Mag 5,EKFonTL offNN,30.2,92.2
Flt1007,1007.06,Mag 4,EKF offNN,205.1,156.0
Flt1007,1007.06,Mag 4,MPF offNN,205.1,318.0
Flt1007,1007.06,Mag 4,EKFonTL offNN,205.1,Inf
Flt1007,1007.06,Mag 5,EKF offNN,36.0,27.9
Flt1007,1007.06,Mag 5,MPF offNN,36.0,370.3
Flt1007,1007.06,Mag 5,EKFonTL offNN,36.0,20.3
