flight,line,mag,sigma_beta,EKF_online
Flt1007,1007.06,Mag 4,100.0,46.3
Flt1007,1007.06,Mag 4,700.0,47.5
Flt1007,1007.06,Mag 5,100.0,17.6
Flt1007,1007.06,Mag 5,700.0,17.3
Flt1007,1007.02,Mag 4,100.0,87.5
Flt1007,1007.02,Mag 4,700.0,96.8
Flt1007,1007.02,Mag 5,100.0,31.9
Flt1007,1007.02,Mag 5,700.0,32.0
Flt1003,1003.02,Mag 4,100.0,155.9
Flt1003,1003.02,Mag 4,700.0,151.6
Flt1003,1003.02,Mag 5,100.0,28.7
Flt1003,1003.02,Mag 5,700.0,34.6
Flt1003,1003.08,Mag 4,100.0,48.8
Flt1003,1003.08,Mag 4,700.0,47.8
Flt1003,1003.08,Mag 5,100.0,19.6
Flt1003,1003.08,Mag 5,700.0,18.5
