flight,line,mag,maneuver,lambda,comp_rmse_nT,EKF_R12,EKF_Rfit,FGO_Rfit
Flt1003,1003.02,Mag 4,cloverleaf,0.0,1960.2,Inf,Inf,169.4
Flt1003,1003.02,Mag 4,cloverleaf,0.025,1957.1,Inf,Inf,22.7
Flt1003,1003.02,Mag 4,square,0.0,1957.7,Inf,Inf,63.9
Flt1003,1003.02,Mag 4,square,0.025,1957.4,Inf,Inf,23.2
Flt1003,1003.02,Mag 5,cloverleaf,0.0,129.8,75.6,78.5,26.0
Flt1003,1003.02,Mag 5,cloverleaf,0.025,129.0,61.8,68.0,20.9
Flt1003,1003.02,Mag 5,square,0.0,142.5,220.7,Inf,71.4
Flt1003,1003.02,Mag 5,square,0.025,128.7,65.5,67.2,21.4
Flt1003,1003.08,Mag 4,cloverleaf,0.0,1973.0,Inf,Inf,84.3
Flt1003,1003.08,Mag 4,cloverleaf,0.025,1971.1,Inf,Inf,26.2
Flt1003,1003.08,Mag 4,square,0.0,1971.6,Inf,Inf,60.7
Flt1003,1003.08,Mag 4,square,0.025,1971.0,Inf,Inf,36.8
Flt1003,1003.08,Mag 5,cloverleaf,0.0,139.8,75.5,122.3,33.0
Flt1003,1003.08,Mag 5,cloverleaf,0.025,139.4,69.6,91.4,26.8
Flt1003,1003.08,Mag 5,square,0.0,144.2,Inf,Inf,37.6
Flt1003,1003.08,Mag 5,square,0.025,139.1,64.0,77.5,22.1
Flt1007,1007.02,Mag 4,cloverleaf,0.0,1820.0,Inf,Inf,235.1
Flt1007,1007.02,Mag 4,cloverleaf,0.025,1818.2,Inf,Inf,36.4
Flt1007,1007.02,Mag 4,square,0.0,1818.4,Inf,Inf,87.4
Flt1007,1007.02,Mag 4,square,0.025,1818.4,Inf,Inf,34.6
Flt1007,1007.02,Mag 5,cloverleaf,0.0,130.4,126.9,170.1,40.3
Flt1007,1007.02,Mag 5,cloverleaf,0.025,130.6,116.8,133.1,34.9
Flt1007,1007.02,Mag 5,square,0.0,136.4,Inf,357.7,88.1
Flt1007,1007.02,Mag 5,square,0.025,130.4,127.4,143.5,37.5
Flt1007,1007.06,Mag 4,cloverleaf,0.0,1768.5,Inf,Inf,148.0
Flt1007,1007.06,Mag 4,cloverleaf,0.025,1768.3,Inf,Inf,48.7
Flt1007,1007.06,Mag 4,square,0.0,1768.3,Inf,Inf,95.3
Flt1007,1007.06,Mag 4,square,0.025,1768.6,Inf,Inf,56.6
Flt1007,1007.06,Mag 5,cloverleaf,0.0,150.6,50.0,Inf,100.5
Flt1007,1007.06,Mag 5,cloverleaf,0.025,150.7,44.3,Inf,83.6
Flt1007,1007.06,Mag 5,square,0.0,152.0,99.6,Inf,140.9
Flt1007,1007.06,Mag 5,square,0.025,150.5,44.3,Inf,69.5
