mag,channel,corr_intf,corr_resid,corr_resid_act
Mag 4,cur_com_1,0.167,-0.048,0.006
Mag 4,cur_ac_hi,-0.005,-0.014,-0.003
Mag 4,cur_ac_lo,-0.234,-0.002,0.01
Mag 4,cur_tank,0.153,0.04,-0.024
Mag 4,cur_flap,0.015,-0.008,0.001
Mag 4,cur_strb,0.347,-0.076,0.265
Mag 4,cur_srvo_o,0.186,-0.01,-0.056
Mag 4,cur_srvo_m,-0.063,-0.003,-0.015
Mag 4,cur_srvo_i,-0.151,0.012,-0.002
Mag 4,cur_heat,0.175,0.073,-0.036
Mag 4,cur_acpwr,0.087,0.045,-0.042
Mag 4,cur_outpwr,0.086,0.044,-0.043
Mag 4,cur_bat_1,0.056,0.014,-0.021
Mag 4,cur_bat_2,-0.017,-0.008,-0.054
Mag 5,cur_com_1,0.202,-0.072,0.063
Mag 5,cur_ac_hi,-0.204,-0.004,-0.004
Mag 5,cur_ac_lo,0.046,-0.002,0.078
Mag 5,cur_tank,0.382,-0.005,-0.022
Mag 5,cur_flap,-0.108,-0.084,0.119
Mag 5,cur_strb,0.048,-0.139,0.552
Mag 5,cur_srvo_o,-0.175,0.034,-0.046
Mag 5,cur_srvo_m,0.131,0.153,-0.013
Mag 5,cur_srvo_i,-0.129,0.033,0.072
Mag 5,cur_heat,-0.273,0.008,-0.112
Mag 5,cur_acpwr,-0.159,-0.0,-0.117
Mag 5,cur_outpwr,-0.157,-0.0,-0.115
Mag 5,cur_bat_1,-0.092,-0.0,-0.046
Mag 5,cur_bat_2,0.04,0.0,-0.126
