flight,line,mag,channel,gamma_nT_per_A
Flt1003,1003.02,Mag 4,cur_com_1,-186.46
Flt1003,1003.02,Mag 4,cur_ac_hi,-25.47
Flt1003,1003.02,Mag 4,cur_ac_lo,-21.374
Flt1003,1003.02,Mag 4,cur_tank,35.558
Flt1003,1003.02,Mag 4,cur_flap,-42.656
Flt1003,1003.02,Mag 4,cur_strb,-871.928
Flt1003,1003.02,Mag 4,cur_srvo_o,1.134
Flt1003,1003.02,Mag 4,cur_srvo_m,-8.042
Flt1003,1003.02,Mag 4,cur_srvo_i,2.898
Flt1003,1003.02,Mag 4,cur_heat,275.657
Flt1003,1003.02,Mag 4,cur_acpwr,-16.826
Flt1003,1003.02,Mag 4,cur_outpwr,-3.205
Flt1003,1003.02,Mag 4,cur_bat_1,-2309.383
Flt1003,1003.02,Mag 4,cur_bat_2,-2404.606
Flt1003,1003.02,Mag 5,cur_com_1,-88.257
Flt1003,1003.02,Mag 5,cur_ac_hi,-6.832
Flt1003,1003.02,Mag 5,cur_ac_lo,-11.031
Flt1003,1003.02,Mag 5,cur_tank,17.409
Flt1003,1003.02,Mag 5,cur_flap,-24.136
Flt1003,1003.02,Mag 5,cur_strb,-75.705
Flt1003,1003.02,Mag 5,cur_srvo_o,0.954
Flt1003,1003.02,Mag 5,cur_srvo_m,21.29
Flt1003,1003.02,Mag 5,cur_srvo_i,-1.231
Flt1003,1003.02,Mag 5,cur_heat,-5.104
Flt1003,1003.02,Mag 5,cur_acpwr,2.472
Flt1003,1003.02,Mag 5,cur_outpwr,-2.63
Flt1003,1003.02,Mag 5,cur_bat_1,-62.298
Flt1003,1003.02,Mag 5,cur_bat_2,-73.398
Flt1003,1003.08,Mag 4,cur_com_1,-128.585
Flt1003,1003.08,Mag 4,cur_ac_hi,-0.857
Flt1003,1003.08,Mag 4,cur_ac_lo,-13.816
Flt1003,1003.08,Mag 4,cur_tank,-10963.639
Flt1003,1003.08,Mag 4,cur_flap,-38.275
Flt1003,1003.08,Mag 4,cur_strb,-4.791
Flt1003,1003.08,Mag 4,cur_srvo_o,0.057
Flt1003,1003.08,Mag 4,cur_srvo_m,-5.864
Flt1003,1003.08,Mag 4,cur_srvo_i,-1.145
Flt1003,1003.08,Mag 4,cur_heat,-15.391
Flt1003,1003.08,Mag 4,cur_acpwr,35.164
Flt1003,1003.08,Mag 4,cur_outpwr,-42.047
Flt1003,1003.08,Mag 4,cur_bat_1,-1675.517
Flt1003,1003.08,Mag 4,cur_bat_2,-1513.861
Flt1003,1003.08,Mag 5,cur_com_1,-64.316
Flt1003,1003.08,Mag 5,cur_ac_hi,9.995
Flt1003,1003.08,Mag 5,cur_ac_lo,5.892
Flt1003,1003.08,Mag 5,cur_tank,1226.83
Flt1003,1003.08,Mag 5,cur_flap,-29.751
Flt1003,1003.08,Mag 5,cur_strb,-4.254
Flt1003,1003.08,Mag 5,cur_srvo_o,-0.217
Flt1003,1003.08,Mag 5,cur_srvo_m,22.327
Flt1003,1003.08,Mag 5,cur_srvo_i,-1.275
Flt1003,1003.08,Mag 5,cur_heat,4.256
Flt1003,1003.08,Mag 5,cur_acpwr,1.096
Flt1003,1003.08,Mag 5,cur_outpwr,-1.728
Flt1003,1003.08,Mag 5,cur_bat_1,-154.048
Flt1003,1003.08,Mag 5,cur_bat_2,-82.122
Flt1007,1007.02,Mag 4,cur_com_1,-85.25
Flt1007,1007.02,Mag 4,cur_ac_hi,-59.33
Flt1007,1007.02,Mag 4,cur_ac_lo,-1466.046
Flt1007,1007.02,Mag 4,cur_tank,-50.733
Flt1007,1007.02,Mag 4,cur_flap,-50.073
Flt1007,1007.02,Mag 4,cur_strb,-37.503
Flt1007,1007.02,Mag 4,cur_srvo_o,2.548
Flt1007,1007.02,Mag 4,cur_srvo_m,-2.819
Flt1007,1007.02,Mag 4,cur_srvo_i,-7.917
Flt1007,1007.02,Mag 4,cur_heat,450.599
Flt1007,1007.02,Mag 4,cur_acpwr,-40.105
Flt1007,1007.02,Mag 4,cur_outpwr,11.555
Flt1007,1007.02,Mag 4,cur_bat_1,-3732.248
Flt1007,1007.02,Mag 4,cur_bat_2,-2807.119
Flt1007,1007.02,Mag 5,cur_com_1,-70.89
Flt1007,1007.02,Mag 5,cur_ac_hi,1.207
Flt1007,1007.02,Mag 5,cur_ac_lo,-15.95
Flt1007,1007.02,Mag 5,cur_tank,-7.699
Flt1007,1007.02,Mag 5,cur_flap,-48.569
Flt1007,1007.02,Mag 5,cur_strb,10.306
Flt1007,1007.02,Mag 5,cur_srvo_o,-0.274
Flt1007,1007.02,Mag 5,cur_srvo_m,9.552
Flt1007,1007.02,Mag 5,cur_srvo_i,-1.016
Flt1007,1007.02,Mag 5,cur_heat,-4.922
Flt1007,1007.02,Mag 5,cur_acpwr,3.982
Flt1007,1007.02,Mag 5,cur_outpwr,-4.393
Flt1007,1007.02,Mag 5,cur_bat_1,-152.732
Flt1007,1007.02,Mag 5,cur_bat_2,-110.645
Flt1007,1007.06,Mag 4,cur_com_1,-203.639
Flt1007,1007.06,Mag 4,cur_ac_hi,-55.146
Flt1007,1007.06,Mag 4,cur_ac_lo,-1906.979
Flt1007,1007.06,Mag 4,cur_tank,407.256
Flt1007,1007.06,Mag 4,cur_flap,-33.79
Flt1007,1007.06,Mag 4,cur_strb,-0.145
Flt1007,1007.06,Mag 4,cur_srvo_o,1.129
Flt1007,1007.06,Mag 4,cur_srvo_m,-7.183
Flt1007,1007.06,Mag 4,cur_srvo_i,1.345
Flt1007,1007.06,Mag 4,cur_heat,197.902
Flt1007,1007.06,Mag 4,cur_acpwr,4.377
Flt1007,1007.06,Mag 4,cur_outpwr,-21.741
Flt1007,1007.06,Mag 4,cur_bat_1,-2603.185
