flight,line,mag,overlap,stride,DRMS
Flt1007,1007.06,Mag 4,0.0,300.0,34.55
Flt1007,1007.06,Mag 4,30.0,270.0,30.14
Flt1007,1007.06,Mag 4,60.0,240.0,35.84
Flt1007,1007.06,Mag 4,90.0,210.0,32.66
Flt1007,1007.06,Mag 4,120.0,180.0,29.69
Flt1007,1007.06,Mag 4,150.0,150.0,30.32
Flt1007,1007.06,Mag 5,0.0,300.0,14.49
Flt1007,1007.06,Mag 5,30.0,270.0,13.49
Flt1007,1007.06,Mag 5,60.0,240.0,13.94
Flt1007,1007.06,Mag 5,90.0,210.0,13.82
Flt1007,1007.06,Mag 5,120.0,180.0,13.0
Flt1007,1007.06,Mag 5,150.0,150.0,13.61
Flt1003,1003.08,Mag 4,0.0,300.0,35.38
Flt1003,1003.08,Mag 4,30.0,270.0,31.0
Flt1003,1003.08,Mag 4,60.0,240.0,32.09
Flt1003,1003.08,Mag 4,90.0,210.0,26.13
Flt1003,1003.08,Mag 4,120.0,180.0,26.43
Flt1003,1003.08,Mag 4,150.0,150.0,29.5
Flt1003,1003.08,Mag 5,0.0,300.0,15.71
Flt1003,1003.08,Mag 5,30.0,270.0,13.98
Flt1003,1003.08,Mag 5,60.0,240.0,13.04
Flt1003,1003.08,Mag 5,90.0,210.0,12.42
Flt1003,1003.08,Mag 5,120.0,180.0,12.5
Flt1003,1003.08,Mag 5,150.0,150.0,12.1
