seed,pos0_m,INS,EKF,EKF_huber,IEKF,FGO_causal,FGO_smoothed
0,23.6903,87.0645,45.3118,44.2031,43.8178,43.0679,10.2521
1,35.3581,70.7551,38.9893,38.2078,39.1150,38.3607,22.2615
2,41.8751,96.2297,40.5003,39.5296,39.3247,39.7876,21.6673
3,41.9987,94.9236,46.1755,44.8488,44.5516,44.0346,10.8333
4,68.2109,71.1211,51.3556,51.1138,51.9075,51.4709,24.3858
5,38.8675,49.6673,47.0860,45.9986,46.1359,44.8778,9.6143
6,33.7316,50.6493,44.6308,44.0163,44.4958,43.9095,21.1474
7,51.2255,37.5564,42.0265,41.0313,41.4308,43.1582,25.1531
8,58.2343,148.5157,50.0860,49.3344,48.6769,48.1970,21.1508
9,83.6737,61.7712,48.2146,47.5487,47.8614,49.5721,32.9741
10,96.1921,72.3203,55.2445,54.4999,55.2680,54.3263,36.5673
11,22.4855,65.6403,44.0562,43.5671,44.0641,42.9924,13.7503
