seed,pos0_m,INS,EKF,EKF_huber,FGO_causal,FGO_smoothed
0,0.1744,1906.8472,278.7880,342.5527,236.3996,15.3962
1,0.2821,1914.6802,2218.0093,1876.1850,1685.4496,1726.3862
2,0.4897,1703.2049,1764.1584,1677.6672,1736.6648,1729.4976
3,0.3081,746.0845,110.0272,112.6083,104.5003,46.1513
4,0.0192,1181.5192,176.8348,177.1333,167.4526,19.3723
5,0.2198,1303.3806,201.9860,204.1178,180.1526,41.0535
6,0.6933,1277.8324,255.0333,256.7336,236.9877,45.1919
7,0.4989,1742.0992,215.2408,223.0701,208.8878,40.9544
8,0.3192,2653.6502,2785.2057,2819.1503,2594.1805,2658.8283
9,0.4196,977.2672,163.3211,156.7211,156.1598,55.7038
10,0.5337,742.4713,153.8056,153.8721,138.9099,35.2730
11,0.2346,1924.8597,265.7301,358.3590,248.8133,48.9809
12,0.1272,2989.4247,3028.5562,2785.7787,1630.1678,1703.1784
13,0.3622,2108.2392,866.0024,547.3937,229.3499,27.8437
14,0.2855,501.2223,101.8968,103.1352,97.9291,44.4232
15,0.4797,635.6609,202.6188,210.9535,184.1516,52.4897
16,0.4244,1847.0935,220.8645,223.5456,207.3302,36.9751
17,0.7441,1714.7601,201.0616,201.0797,194.0402,22.1266
18,0.4440,457.9777,106.7990,106.5654,104.7535,18.3655
19,0.2662,1384.9275,160.7735,160.6993,135.5417,13.9056
20,0.4229,1933.1362,2100.4036,2015.6799,2236.0925,2491.0894
21,0.5928,879.5674,135.5165,137.1617,116.9486,18.2105
22,0.2763,191.2378,76.4516,76.3627,72.6546,21.0266
23,0.4966,1014.9554,440.2941,491.4892,1572.2535,1700.8373
24,0.1421,1577.7475,348.5706,370.7424,229.1010,18.9018
25,0.5659,192.1574,73.5356,73.4215,69.5918,18.8398
26,0.3318,1134.1181,147.2720,147.3099,143.6466,16.7704
27,0.2299,591.0334,163.3348,164.5978,149.3272,57.2148
28,0.0722,2983.1679,3342.3833,3313.0884,2098.5789,2186.5754
29,0.2784,1562.9259,1539.6293,1493.7820,1645.2516,1702.3745
