seed,pos0_m,INS,EKF,FGO_causal,FGO_smoothed
0,0.0058,75.6436,42.5838,41.8445,10.4722
1,0.0094,99.0765,41.7964,40.5514,10.3382
2,0.0163,92.7953,41.3000,40.0383,10.9525
3,0.0103,61.1534,40.1407,39.1034,11.6629
4,0.0006,4.5929,41.8839,41.4030,10.8798
5,0.0073,23.3644,41.3985,40.9688,11.1939
6,0.0231,42.0476,43.9053,43.1678,10.1614
7,0.0166,52.4049,42.4780,41.6843,10.5819
8,0.0106,123.3219,41.5373,40.3233,9.8116
9,0.0140,43.3264,40.7835,39.9560,11.7476
10,0.0178,30.4201,40.2074,39.2466,11.3950
11,0.0078,46.9354,41.8637,41.3783,11.4697
12,0.0042,123.4465,39.7746,38.7666,10.0409
13,0.0121,78.9686,42.3302,41.5945,11.0110
14,0.0095,50.7864,40.0549,39.1078,11.5797
15,0.0160,57.4009,42.6295,41.6221,10.5676
16,0.0141,63.8323,42.1616,41.3731,10.6851
17,0.0248,50.5918,42.7475,41.9729,10.5302
18,0.0148,51.9830,42.0072,40.9050,10.2027
19,0.0089,78.2355,41.7369,40.5516,10.8059
20,0.0141,100.9082,40.0537,38.7131,11.8460
21,0.0198,61.9254,41.4450,40.1117,10.2455
22,0.0092,39.6127,41.1260,40.0754,10.3493
23,0.0166,54.2415,41.0265,39.6953,10.1493
24,0.0047,15.6403,42.2493,41.7016,10.7568
25,0.0189,36.9406,41.1987,40.2009,10.3876
26,0.0111,11.9969,42.4540,41.7971,10.3100
27,0.0077,45.6521,41.4747,40.5618,11.2684
28,0.0024,135.2825,40.4808,39.2639,11.9543
29,0.0093,89.4388,41.9114,40.6740,9.9787
