seed,pos0_m,INS,EKF,EKF_huber,FGO_causal,FGO_smoothed
0,0.1744,1906.8472,278.7880,342.5527,278.7880,51.2879
1,0.2821,1914.6802,2218.0093,1876.1850,2218.0093,2250.5170
2,0.4897,1703.2049,1764.1584,1677.6672,1764.1584,1747.6908
3,0.3081,746.0845,110.0272,112.6083,110.0272,42.6104
4,0.0192,1181.5192,176.8348,177.1333,176.8348,36.1462
5,0.2198,1303.3806,201.9860,204.1178,201.9860,50.8245
6,0.6933,1277.8324,255.0333,256.7336,255.0333,64.4033
7,0.4989,1742.0992,215.2408,223.0701,215.2408,36.0300
8,0.3192,2653.6502,2785.2057,2819.1503,2785.2057,2737.5528
9,0.4196,977.2672,163.3211,156.7211,163.3211,61.7116
10,0.5337,742.4713,153.8056,153.8721,153.8056,39.3090
11,0.2346,1924.8597,265.7301,358.3590,265.7301,44.8894
12,0.1272,2989.4247,3028.5562,2785.7787,3028.5562,3017.4813
13,0.3622,2108.2392,866.0024,547.3937,866.0024,840.2625
14,0.2855,501.2223,101.8968,103.1352,101.8968,40.9087
15,0.4797,635.6609,202.6188,210.9535,202.6188,70.9262
16,0.4244,1847.0935,220.8645,223.5456,220.8645,29.4325
17,0.7441,1714.7601,201.0616,201.0797,201.0616,15.7827
18,0.4440,457.9777,106.7990,106.5654,106.7990,19.8368
19,0.2662,1384.9275,160.7735,160.6993,160.7735,5.7068
20,0.4229,1933.1362,2100.4036,2015.6799,2100.4036,2260.9460
21,0.5928,879.5674,135.5165,137.1617,135.5165,24.2353
22,0.2763,191.2378,76.4516,76.3627,76.4516,18.3685
23,0.4966,1014.9554,440.2941,491.4892,440.2941,312.7722
24,0.1421,1577.7475,348.5706,370.7424,348.5706,176.7286
25,0.5659,192.1574,73.5356,73.4215,73.5356,16.3000
26,0.3318,1134.1181,147.2720,147.3099,147.2720,15.9354
27,0.2299,591.0334,163.3348,164.5978,163.3348,65.1049
28,0.0722,2983.1679,3342.3833,3313.0884,3342.3833,3387.7638
29,0.2784,1562.9259,1539.6293,1493.7820,1539.6293,1544.7679
