seed,pos0_m,INS,EKF,EKF_huber,IEKF,FGO_causal,FGO_smoothed
0,23.6903,87.0645,45.3118,44.2031,43.8178,43.3481,10.2736
1,35.3581,70.7551,38.9893,38.2078,39.1150,38.3828,22.2597
2,41.8751,96.2297,40.5003,39.5296,39.3247,39.8737,21.6672
3,41.9987,94.9236,46.1755,44.8488,44.5516,44.3677,10.8558
4,68.2109,71.1211,51.3556,51.1138,51.9075,51.6410,24.3898
5,38.8675,49.6673,47.0860,45.9986,46.1359,45.1157,9.6333
6,33.7316,50.6493,44.6308,44.0163,44.4958,44.1245,21.1449
7,51.2255,37.5564,42.0265,41.0313,41.4308,43.0077,25.1497
8,58.2343,148.5157,50.0860,49.3344,48.6769,48.3459,21.1460
9,83.6737,61.7712,48.2146,47.5487,47.8614,49.5207,32.9669
10,96.1921,72.3203,55.2445,54.4999,55.2680,54.6555,36.5651
11,22.4855,65.6403,44.0562,43.5671,44.0641,43.3146,13.7530
12,78.2822,179.6739,51.4170,50.7245,49.8218,50.7618,28.1794
13,94.5980,60.3884,49.0426,48.3621,48.7454,50.8898,38.0742
14,59.2040,73.2922,42.8825,42.3490,42.6684,43.8086,26.5423
15,35.1279,33.5726,41.4127,40.9680,41.3499,41.1227,22.2697
16,80.1609,138.4037,58.2185,57.4572,56.6430,56.0657,21.0305
17,78.5223,49.8319,49.8348,49.1480,49.0664,50.2575,27.2049
18,125.5196,129.0825,60.3061,59.7962,59.2687,60.5308,41.1611
19,33.3332,56.0902,39.4191,38.5621,38.9968,38.8831,21.0648
20,69.7107,161.1438,50.8804,50.2021,50.2217,50.7972,17.3164
21,69.5088,122.2124,51.2538,50.1995,49.5122,50.8477,19.4455
22,64.1895,100.2351,52.2318,50.8593,51.7819,50.9419,14.1050
23,30.3061,81.3693,43.6791,42.3159,41.3947,42.6958,12.6850
24,106.0797,111.3249,63.3606,63.1473,63.4098,63.5507,34.3352
25,77.9083,50.9294,45.3051,44.5639,44.9361,46.2958,32.7816
26,30.2946,23.2258,43.2605,42.3182,42.6243,42.8464,14.1111
27,139.1170,156.8997,63.3044,63.0714,63.3726,64.6643,45.1638
28,112.5740,202.1727,66.5666,65.9476,65.5877,65.0911,34.1011
29,41.8198,59.2904,40.6873,39.9289,40.8237,39.7257,23.3246
