line,lag_s,n_win,mu_med,sig_med,sig_q1,sig_q3
1007_06,30,174,2.9566983953038294e-05,183.91206353878016,95.30562601153161,327.6929007116514
1007_06,60,173,0.0003948279529675132,50.3264218775678,25.32609228706327,95.81782524212437
1007_06,120,171,0.002475814253150277,20.097450635128336,10.98006619300889,35.32983410794577
1007_06,180,169,0.006472466478436571,12.42982731358262,7.211110263622247,21.487671333844922
1007_06,240,167,0.011828844820045079,9.194515151215503,5.688549147695756,16.38416235848551
1007_06,300,165,0.017214857941984945,7.62163731314036,4.832465979988613,10.805662518829543
1007_06,450,160,0.04356705579690282,4.79096159175578,3.8159901654496395,7.094747181044282
1007_06,600,155,0.06039852723793946,4.068991902245111,3.0435447116320633,4.739593249434153
1007_02,30,128,3.980059410571137e-07,1585.1173357980188,913.6500771456242,2695.135901005674
1007_02,60,127,1.3391372802725672e-05,273.2671640448085,147.6707818076872,500.61835420286343
1007_02,120,125,0.00026052196622552564,61.95520900140632,39.89141433529804,99.64346318132596
1007_02,180,123,0.0008807384600972609,33.6958579933037,24.9889998656006,50.55259198947337
1007_02,240,121,0.0017492002166967363,23.910036481926284,18.942806237624897,35.1569491640087
1007_02,300,119,0.002674142046098392,19.3378311450628,15.610346003503455,26.285579277298442
1007_02,450,114,0.005017768413911712,14.117134009861806,10.054544764025398,16.053719247041663
1007_02,600,109,0.008692686799258175,10.725634268336131,6.673948186022825,12.137735312894803
1003_02,30,126,1.128276406671534e-05,297.7101374243848,121.10598398006151,534.488757485592
1003_02,60,125,0.0003025853811688764,57.487845006198704,27.007601218250446,104.41987126897133
1003_02,120,123,0.0027018044433214186,19.23858135604774,10.859043689347299,34.47506071666683
1003_02,180,121,0.007946308272334661,11.218048037013228,7.063348742494639,17.33853166975321
1003_02,240,119,0.01657058532142693,7.768390981139301,5.818933131368183,12.865553085167708
1003_02,300,117,0.022625686494801213,6.6481240941838085,5.202189915837804,10.542367926331286
1003_02,450,112,0.03792764826175679,5.13520732165007,3.507385978613887,5.70805281272109
1003_02,600,107,0.05364744809657314,4.317431599958369,2.5600906514842343,4.912844353099265
1003_08,30,144,2.4475466544870186e-05,202.1381145826024,114.60225230487019,473.89615987480727
1003_08,60,143,0.0004221509736967952,48.67053300371586,29.380091027438205,96.94742937140967
1003_08,120,141,0.0025880428950710867,19.65686544757889,11.223263362667558,32.68231061131633
1003_08,180,139,0.007340340577778314,11.671909044829114,7.842726729703179,20.707773678326514
1003_08,240,137,0.0133293458546422,8.661549300064683,6.73827227707411,14.405133572188927
1003_08,300,135,0.019306826759354884,7.196884785812351,5.924270142588414,10.059588734153788
1003_08,450,130,0.03484178530634201,5.357429456194257,4.818878860414918,6.448648010196836
1003_08,600,125,0.049014255687539275,4.51688250857729,4.249661583736392,5.116888574142247
