flight,line,mag,meas_std_nT,MPF_TL,MPF_TL_best,FGO
Flt1007,1007.06,Mag 4,40.0,1227.0,1227.0,30.9
Flt1007,1007.06,Mag 4,100.0,4192.5,1227.0,30.9
Flt1007,1007.06,Mag 5,40.0,2947.3,75.1,13.5
Flt1007,1007.06,Mag 5,100.0,75.1,75.1,13.5
Flt1007,1007.02,Mag 4,40.0,3304.1,1311.5,2042.5
Flt1007,1007.02,Mag 4,100.0,1311.5,1311.5,2042.5
Flt1007,1007.02,Mag 5,40.0,2390.1,2247.3,1371.5
Flt1007,1007.02,Mag 5,100.0,2247.3,2247.3,1371.5
Flt1003,1003.02,Mag 4,40.0,3078.5,482.6,38.7
Flt1003,1003.02,Mag 4,100.0,482.6,482.6,38.7
Flt1003,1003.02,Mag 5,40.0,40.9,40.9,20.2
Flt1003,1003.02,Mag 5,100.0,41.3,40.9,20.2
Flt1003,1003.08,Mag 4,40.0,3578.4,2898.7,27.8
Flt1003,1003.08,Mag 4,100.0,2898.7,2898.7,27.8
Flt1003,1003.08,Mag 5,40.0,77.1,77.1,13.3
Flt1003,1003.08,Mag 5,100.0,362.8,77.1,13.3
