flight,line,signal,method,DRMS
Flt1003,1003.02,Mag1 (comp),EKF,21.4
Flt1003,1003.02,Mag1 (comp),FGO,13.5
Flt1003,1003.02,Mag1 (comp),MPF-ours,1074.6
Flt1003,1003.02,Mag1 (comp),MPF-native-300,Inf
Flt1003,1003.02,Mag1 (comp),MPF-native-1000,Inf
Flt1003,1003.02,Mag5 (uncomp),MPF-ours,1412.7
Flt1003,1003.08,Mag1 (comp),EKF,17.7
Flt1003,1003.08,Mag1 (comp),FGO,12.5
Flt1003,1003.08,Mag1 (comp),MPF-ours,927.5
Flt1003,1003.08,Mag1 (comp),MPF-native-300,Inf
Flt1003,1003.08,Mag1 (comp),MPF-native-1000,Inf
Flt1003,1003.08,Mag5 (uncomp),MPF-ours,341.8
Flt1007,1007.02,Mag1 (comp),EKF,26.1
Flt1007,1007.02,Mag1 (comp),FGO,17.0
Flt1007,1007.02,Mag1 (comp),MPF-ours,187.6
Flt1007,1007.02,Mag1 (comp),MPF-native-300,Inf
Flt1007,1007.02,Mag1 (comp),MPF-native-1000,Inf
Flt1007,1007.02,Mag5 (uncomp),MPF-ours,348.5
Flt1007,1007.06,Mag1 (comp),EKF,20.0
Flt1007,1007.06,Mag1 (comp),FGO,16.7
Flt1007,1007.06,Mag1 (comp),MPF-ours,733.9
Flt1007,1007.06,Mag1 (comp),MPF-native-300,Inf
Flt1007,1007.06,Mag1 (comp),MPF-native-1000,Inf
Flt1007,1007.06,Mag5 (uncomp),MPF-ours,1734.1
