flight,line,comp_rmse_nT,meas_std_nT,roughen_m,EKF,MPF
Flt1003,1003.08,49.7,12.0,0.0,38.6,860.2
Flt1003,1003.08,49.7,12.0,5.0,38.6,Inf
Flt1003,1003.08,49.7,25.0,0.0,38.1,853.6
Flt1003,1003.08,49.7,25.0,5.0,38.1,331.9
Flt1003,1003.08,49.7,40.0,0.0,41.2,318.1
Flt1003,1003.08,49.7,40.0,5.0,41.2,102.3
Flt1003,1003.08,49.7,80.0,0.0,79.0,416.2
Flt1003,1003.08,49.7,80.0,5.0,79.0,964.7
Flt1007,1007.06,36.0,12.0,0.0,29.0,1952.5
Flt1007,1007.06,36.0,12.0,5.0,29.0,118.0
Flt1007,1007.06,36.0,25.0,0.0,30.5,407.1
Flt1007,1007.06,36.0,25.0,5.0,30.5,68.0
Flt1007,1007.06,36.0,40.0,0.0,33.3,258.1
Flt1007,1007.06,36.0,40.0,5.0,33.3,40.9
Flt1007,1007.06,36.0,80.0,0.0,37.9,426.4
Flt1007,1007.06,36.0,80.0,5.0,37.9,40.2
