flight,line,t_min,sigma_min,cond,yaw_spread_deg,roll_std_deg
Flt1003,1003.02,0.0,0.0,1.218180458316518e14,43.5,3.96
Flt1003,1003.02,5.0,0.0,1.49529566053503e14,157.0,4.78
Flt1003,1003.02,10.0,0.0,1.218790366266268e14,69.3,4.11
Flt1003,1003.02,15.0,0.0,1.22991315448207e14,67.7,3.77
Flt1003,1003.02,20.0,0.0,1.076933113407676e14,169.3,5.8
Flt1003,1003.02,25.0,0.0,1.308625756935914e14,29.6,3.0
Flt1003,1003.02,30.0,0.0,2.055163357020834e14,178.7,8.48
Flt1003,1003.02,35.0,0.0,1.360370121286162e14,42.5,5.81
Flt1003,1003.02,40.0,0.0,1.10488277970222e14,151.2,8.26
Flt1003,1003.02,45.0,0.0,1.278115583227079e14,82.9,7.02
Flt1003,1003.02,50.0,0.0,1.842818859599864e14,102.6,6.78
Flt1003,1003.02,55.0,0.0,1.543208699732826e14,140.4,7.91
Flt1003,1003.08,0.0,0.0,1.212383178404192e14,12.7,1.66
Flt1003,1003.08,5.0,0.0,1.192260955891422e14,88.5,5.03
Flt1003,1003.08,10.0,0.0,1.094733101929529e14,94.6,6.22
Flt1003,1003.08,15.0,0.0,1.30577009199629e14,13.9,1.73
Flt1003,1003.08,20.0,0.0,1.636166928937909e14,200.0,8.65
Flt1003,1003.08,25.0,0.0,1.314263584867773e14,37.1,4.84
Flt1003,1003.08,30.0,0.0,1.044828868163768e14,111.7,7.7
Flt1003,1003.08,35.0,0.0,1.926935258242322e14,152.4,9.21
Flt1003,1003.08,40.0,0.0,1.265415536991152e14,34.8,3.75
Flt1003,1003.08,45.0,0.0,1.509142779683321e14,222.4,8.1
Flt1003,1003.08,50.0,0.0,1.348086854652762e14,11.1,1.8
Flt1003,1003.08,55.0,0.0,1.043942452388344e14,180.2,7.62
Flt1003,1003.08,60.0,0.0,1.590635812619854e14,87.7,5.89
Flt1003,1003.08,65.0,0.0,1.244166264018775e14,52.7,4.81
Flt1007,1007.02,0.0,0.0,1.22944630679477e14,70.4,5.56
Flt1007,1007.02,5.0,0.0,1.690624251533438e14,133.3,5.22
Flt1007,1007.02,10.0,0.0,1.709339177091642e14,112.2,5.67
Flt1007,1007.02,15.0,0.0,1.317900904174825e14,104.1,6.47
Flt1007,1007.02,20.0,0.0,1.025740840975978e14,131.4,5.64
Flt1007,1007.02,25.0,0.0,1.304638450718792e14,74.7,4.38
Flt1007,1007.02,30.0,0.0,2.038539766933987e14,176.5,6.04
Flt1007,1007.02,35.0,0.0,1.298192055103498e14,34.0,3.2
Flt1007,1007.02,40.0,0.0,9.78649307986678e13,205.8,6.5
Flt1007,1007.02,45.0,0.0,1.587290634265574e14,16.1,2.24
Flt1007,1007.02,50.0,0.0,1.913970712815875e14,230.0,6.1
Flt1007,1007.02,55.0,0.0,1.38016630101633e14,32.2,2.42
Flt1007,1007.06,0.0,0.0,1.330965183353968e14,20.9,2.75
Flt1007,1007.06,5.0,0.0,1.216792037623325e14,39.1,3.45
Flt1007,1007.06,10.0,0.0,1.273866990552948e14,21.4,2.9
Flt1007,1007.06,15.0,0.0,1.126820659896186e14,116.4,6.15
Flt1007,1007.06,20.0,0.0,1.430696769109446e14,123.5,5.35
Flt1007,1007.06,25.0,0.0,1.195484251264159e14,134.7,7.56
Flt1007,1007.06,30.0,0.0,1.562825159703348e14,67.0,3.74
Flt1007,1007.06,35.0,0.0,1.919034580056062e14,188.7,6.57
Flt1007,1007.06,40.0,0.0,1.213420021026692e14,76.1,3.9
Flt1007,1007.06,45.0,0.0,1.210210866426758e14,81.5,4.94
Flt1007,1007.06,50.0,0.0,1.163761446098464e14,141.0,6.21
Flt1007,1007.06,55.0,0.0,1.717725825865135e14,54.3,4.77
Flt1007,1007.06,60.0,0.0,1.2804199940517e14,131.4,6.19
Flt1007,1007.06,65.0,0.0,1.405097527855379e14,115.2,5.62
Flt1007,1007.06,70.0,0.0,1.875489292610698e14,200.1,6.64
Flt1007,1007.06,75.0,0.0,1.147661029206914e14,190.0,7.05
Flt1007,1007.06,80.0,0.0,1.35241598819046e14,49.5,3.56
